hotel_name,location,price,rating,score,review,link
Saltstayz Autograph - Connaught Place,"Connaught Place, New Delhi","₹ 7,313",Good ,7.3,49 reviews,https://www.booking.com/hotel/in/saltstayz-autograph-connaught-place.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Av7PtcIGwAIB0gIkNGJhYTRjMjAtYjBmOS00NGY5LTk4MzUtNGJmNDM4N2ZhZTcz2AIF4AIB&sid=c6875ebb136d9b44a015abaafe60323b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=38324a8b94fb09ab&srepoch=1749983769&all_sr_blocks=1396391101_411550281_2_10_0&highlighted_blocks=1396391101_411550281_2_10_0&matching_block_id=1396391101_411550281_2_10_0&sr_pri_blocks=1396391101_411550281_2_10_0__731250&from=searchresults
The Leela Ambience Convention Hotel Delhi,New Delhi,"₹ 6,413",Excellent ,8.6,"2,025 reviews",https://www.booking.com/hotel/in/the-leela-ambience-convention-hotel-delhi.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Av7PtcIGwAIB0gIkNGJhYTRjMjAtYjBmOS00NGY5LTk4MzUtNGJmNDM4N2ZhZTcz2AIF4AIB&sid=c6875ebb136d9b44a015abaafe60323b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=38324a8b94fb09ab&srepoch=1749983769&all_sr_blocks=43487726_415005122_2_42_0_828781&highlighted_blocks=43487726_415005122_2_42_0_828781&matching_block_id=43487726_415005122_2_42_0_828781&sr_pri_blocks=43487726_415005122_2_42_0_828781_641250&from=searchresults
Hotel Namaste Hindustan Just a Minute Away From New Delhi Railway Station and Connaught place,"Paharganj, New Delhi (Chandni Chowk)","₹ 3,360",Excellent ,8.8,"1,178 reviews",https://www.booking.com/hotel/in/namaste-hindustan-just-a-minute-away-from-new-delhi-railway-station.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Av7PtcIGwAIB0gIkNGJhYTRjMjAtYjBmOS00NGY5LTk4MzUtNGJmNDM4N2ZhZTcz2AIF4AIB&sid=c6875ebb136d9b44a015abaafe60323b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=38324a8b94fb09ab&srepoch=1749983769&all_sr_blocks=1295786401_403190738_2_42_0_710253&highlighted_blocks=1295786401_403190738_2_42_0_710253&matching_block_id=1295786401_403190738_2_42_0_710253&sr_pri_blocks=1295786401_403190738_2_42_0_710253_336000&from=searchresults
The Prime Delhi,"Paharganj, New Delhi (Chandni Chowk)","₹ 3,300",Very Good ,8.0,"3,841 reviews",https://www.booking.com/hotel/in/the-prime-delhi.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Av7PtcIGwAIB0gIkNGJhYTRjMjAtYjBmOS00NGY5LTk4MzUtNGJmNDM4N2ZhZTcz2AIF4AIB&sid=c6875ebb136d9b44a015abaafe60323b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=38324a8b94fb09ab&srepoch=1749983769&all_sr_blocks=784318701_397862740_2_42_0&highlighted_blocks=784318701_397862740_2_42_0&matching_block_id=784318701_397862740_2_42_0&sr_pri_blocks=784318701_397862740_2_42_0__330000&from=searchresults
Hotel Saina International New Delhi,"Paharganj, New Delhi (Chandni Chowk)","₹ 2,025",Very Good ,8.2,"1,086 reviews",https://www.booking.com/hotel/in/the-saina-international-new-delhi.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Av7PtcIGwAIB0gIkNGJhYTRjMjAtYjBmOS00NGY5LTk4MzUtNGJmNDM4N2ZhZTcz2AIF4AIB&sid=c6875ebb136d9b44a015abaafe60323b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=38324a8b94fb09ab&srepoch=1749983769&all_sr_blocks=1065426601_378943036_0_2_0&highlighted_blocks=1065426601_378943036_0_2_0&matching_block_id=1065426601_378943036_0_2_0&sr_pri_blocks=1065426601_378943036_0_2_0__202500&from=searchresults
Hotel City Empire New Delhi Railway Station,"Paharganj, New Delhi (Chandni Chowk)","₹ 1,870",Good ,7.4,"2,793 reviews",https://www.booking.com/hotel/in/city-emmpire-dx.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Av7PtcIGwAIB0gIkNGJhYTRjMjAtYjBmOS00NGY5LTk4MzUtNGJmNDM4N2ZhZTcz2AIF4AIB&sid=c6875ebb136d9b44a015abaafe60323b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=38324a8b94fb09ab&srepoch=1749983769&all_sr_blocks=194851615_273852999_2_42_0_902513&highlighted_blocks=194851615_273852999_2_42_0_902513&matching_block_id=194851615_273852999_2_42_0_902513&sr_pri_blocks=194851615_273852999_2_42_0_902513_187000&from=searchresults
Hotel City Star - Free Airport Pickup,"Paharganj, New Delhi (Chandni Chowk)","₹ 3,245",Very Good ,8.4,921 reviews,https://www.booking.com/hotel/in/chanchal-deluxe-new-delhi.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Av7PtcIGwAIB0gIkNGJhYTRjMjAtYjBmOS00NGY5LTk4MzUtNGJmNDM4N2ZhZTcz2AIF4AIB&sid=c6875ebb136d9b44a015abaafe60323b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=38324a8b94fb09ab&srepoch=1749983769&all_sr_blocks=30830101_413031518_2_41_0_903251&highlighted_blocks=30830101_413031518_2_41_0_903251&matching_block_id=30830101_413031518_2_41_0_903251&sr_pri_blocks=30830101_413031518_2_41_0_903251_324500&from=searchresults
Hotel Tashkent Palace - Near New Delhi Railway Station,"Paharganj, New Delhi (Chandni Chowk)","₹ 1,272",Good ,7.4,"1,592 reviews",https://www.booking.com/hotel/in/tg-tashkent.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Av7PtcIGwAIB0gIkNGJhYTRjMjAtYjBmOS00NGY5LTk4MzUtNGJmNDM4N2ZhZTcz2AIF4AIB&sid=c6875ebb136d9b44a015abaafe60323b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=38324a8b94fb09ab&srepoch=1749983769&all_sr_blocks=199778906_209419016_2_2_0_912178&highlighted_blocks=199778906_209419016_2_2_0_912178&matching_block_id=199778906_209419016_2_2_0_912178&sr_pri_blocks=199778906_209419016_2_2_0_912178_127200&from=searchresults
Avanti Tenantry-Luxurious Service Apartments,"Safdarjung Enclave, New Delhi","₹ 3,150",Very Good ,8.0,94 reviews,https://www.booking.com/hotel/in/avanti-tenantry.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Av7PtcIGwAIB0gIkNGJhYTRjMjAtYjBmOS00NGY5LTk4MzUtNGJmNDM4N2ZhZTcz2AIF4AIB&sid=c6875ebb136d9b44a015abaafe60323b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=38324a8b94fb09ab&srepoch=1749983769&all_sr_blocks=296024308_344219347_2_42_0&highlighted_blocks=296024308_344219347_2_42_0&matching_block_id=296024308_344219347_2_42_0&sr_pri_blocks=296024308_344219347_2_42_0__315000&from=searchresults
Just Renovated - Hotel Krishna Palace With Parking & Only 2 Mins Walk from Metro,"Paharganj, New Delhi (Chandni Chowk)","₹ 1,533",Excellent ,8.6,104 reviews,https://www.booking.com/hotel/in/lord-krishna-palace.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Av7PtcIGwAIB0gIkNGJhYTRjMjAtYjBmOS00NGY5LTk4MzUtNGJmNDM4N2ZhZTcz2AIF4AIB&sid=c6875ebb136d9b44a015abaafe60323b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=38324a8b94fb09ab&srepoch=1749983769&all_sr_blocks=572839501_220416687_2_42_0&highlighted_blocks=572839501_220416687_2_42_0&matching_block_id=572839501_220416687_2_42_0&sr_pri_blocks=572839501_220416687_2_42_0__153280&from=searchresults
