hotel_name,location,price,rating,score,review,link
"Treebo Kodai Kings Park, 650 M From Kodai Lake",Kodaikānāl,"₹ 1,971",Good ,7.6,704 reviews,https://www.booking.com/hotel/in/king-39-s-park.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AtXtusIGwAIB0gIkYWY2NTA1OWUtOGZiMC00NWU5LWJkNzItNWEyZjgxYjcxNzUy2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-02&dest_id=-2101138&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=85cd54fdc0f4085b&srepoch=1749989116&all_sr_blocks=256060315_400592914_2_2_0_316704&highlighted_blocks=256060315_400592914_2_2_0_316704&matching_block_id=256060315_400592914_2_2_0_316704&sr_pri_blocks=256060315_400592914_2_2_0_316704_197073&from=searchresults
GReaT Trails Kodaikanal by GRT Hotels,Kodaikānāl,"₹ 6,299",Very Good ,8.5,266 reviews,https://www.booking.com/hotel/in/grt-nature-trails-kodaikanal.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AtXtusIGwAIB0gIkYWY2NTA1OWUtOGZiMC00NWU5LWJkNzItNWEyZjgxYjcxNzUy2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-02&dest_id=-2101138&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=85cd54fdc0f4085b&srepoch=1749989116&all_sr_blocks=139169301_410641738_2_41_0&highlighted_blocks=139169301_410641738_2_41_0&matching_block_id=139169301_410641738_2_41_0&sr_pri_blocks=139169301_410641738_2_41_0__629910&from=searchresults
STARLIGHT HOTELS KODAI,Kodaikānāl,₹ 800,Review score ,5.6,83 reviews,https://www.booking.com/hotel/in/starlight-hotels-kodai.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AtXtusIGwAIB0gIkYWY2NTA1OWUtOGZiMC00NWU5LWJkNzItNWEyZjgxYjcxNzUy2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-02&dest_id=-2101138&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=85cd54fdc0f4085b&srepoch=1749989116&all_sr_blocks=1172098701_390713421_2_42_0&highlighted_blocks=1172098701_390713421_2_42_0&matching_block_id=1172098701_390713421_2_42_0&sr_pri_blocks=1172098701_390713421_2_42_0__80000&from=searchresults
Sterling Kodai Lake,Kodaikānāl,"₹ 6,795",Very Good ,8.3,362 reviews,https://www.booking.com/hotel/in/sterling-lake-view.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AtXtusIGwAIB0gIkYWY2NTA1OWUtOGZiMC00NWU5LWJkNzItNWEyZjgxYjcxNzUy2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-02&dest_id=-2101138&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=85cd54fdc0f4085b&srepoch=1749989116&all_sr_blocks=35748601_337657875_2_41_0&highlighted_blocks=35748601_337657875_2_41_0&matching_block_id=35748601_337657875_2_41_0&sr_pri_blocks=35748601_337657875_2_41_0__679500&from=searchresults
7 ROADS RESORT 50mts to lake,Kodaikānāl,"₹ 1,300",Very Good ,8.2,61 reviews,https://www.booking.com/hotel/in/7-roads-resort-50mts-to-lake.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AtXtusIGwAIB0gIkYWY2NTA1OWUtOGZiMC00NWU5LWJkNzItNWEyZjgxYjcxNzUy2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-02&dest_id=-2101138&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=85cd54fdc0f4085b&srepoch=1749989116&all_sr_blocks=1339285203_406350991_2_0_0&highlighted_blocks=1339285203_406350991_2_0_0&matching_block_id=1339285203_406350991_2_0_0&sr_pri_blocks=1339285203_406350991_2_0_0__130000&from=searchresults
Vivera Highlands,Kodaikānāl,"₹ 1,720",Review score ,6.8,472 reviews,https://www.booking.com/hotel/in/town-country-by-vivera.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AtXtusIGwAIB0gIkYWY2NTA1OWUtOGZiMC00NWU5LWJkNzItNWEyZjgxYjcxNzUy2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-02&dest_id=-2101138&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=85cd54fdc0f4085b&srepoch=1749989116&all_sr_blocks=758289001_400377632_0_42_0&highlighted_blocks=758289001_400377632_0_42_0&matching_block_id=758289001_400377632_0_42_0&sr_pri_blocks=758289001_400377632_0_42_0__171957&from=searchresults
Treebo Tranquil Heights With Scenic View,Kodaikānāl,"₹ 1,762",Good ,7.4,15 reviews,https://www.booking.com/hotel/in/treebo-tranquil-heights.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AtXtusIGwAIB0gIkYWY2NTA1OWUtOGZiMC00NWU5LWJkNzItNWEyZjgxYjcxNzUy2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-02&dest_id=-2101138&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=85cd54fdc0f4085b&srepoch=1749989116&all_sr_blocks=1312444101_404015463_2_2_0_821035&highlighted_blocks=1312444101_404015463_2_2_0_821035&matching_block_id=1312444101_404015463_2_2_0_821035&sr_pri_blocks=1312444101_404015463_2_2_0_821035_176194&from=searchresults
The Lake House,Kodaikānāl,"₹ 2,700",Excellent ,8.7,16 reviews,https://www.booking.com/hotel/in/the-lake-house-kodaikanal.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AtXtusIGwAIB0gIkYWY2NTA1OWUtOGZiMC00NWU5LWJkNzItNWEyZjgxYjcxNzUy2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-02&dest_id=-2101138&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=85cd54fdc0f4085b&srepoch=1749989116&all_sr_blocks=1412319802_412974673_0_42_0&highlighted_blocks=1412319802_412974673_0_42_0&matching_block_id=1412319802_412974673_0_42_0&sr_pri_blocks=1412319802_412974673_0_42_0__270000&from=searchresults
Rave Raja CoWorking Hostels,Kodaikānāl,"₹ 1,299",Wonderful ,9.0,68 reviews,https://www.booking.com/hotel/in/rave-raja-hostel-kodaikanal.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AtXtusIGwAIB0gIkYWY2NTA1OWUtOGZiMC00NWU5LWJkNzItNWEyZjgxYjcxNzUy2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-02&dest_id=-2101138&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=85cd54fdc0f4085b&srepoch=1749989116&all_sr_blocks=1296744703_402586168_2_33_0&highlighted_blocks=1296744703_402586168_2_33_0&matching_block_id=1296744703_402586168_2_33_0&sr_pri_blocks=1296744703_402586168_2_33_0__129900&from=searchresults
The Jacks Hilltop Kodai,Kodaikānāl,₹ 959,Review score ,6.1,230 reviews,https://www.booking.com/hotel/in/the-jacks-hilltop-resort-kodai.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AtXtusIGwAIB0gIkYWY2NTA1OWUtOGZiMC00NWU5LWJkNzItNWEyZjgxYjcxNzUy2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-02&dest_id=-2101138&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=85cd54fdc0f4085b&srepoch=1749989116&all_sr_blocks=897926015_411872881_2_42_0&highlighted_blocks=897926015_411872881_2_42_0&matching_block_id=897926015_411872881_2_42_0&sr_pri_blocks=897926015_411872881_2_42_0__95920&from=searchresults
